	article_id	TEXT	author	link	emotion
0	1175	低开低走3000点[捂脸][捂脸]	永远背离	http://guba.eastmoney.com/news,zssh000001,1285243215.html	-1
1	1264	#A股这波调整何时结束？#差不多5000牛	股友75f8U98077	http://guba.eastmoney.com/news,zssh000001,1285232400.html	-1
2	1349	周一逃不掉的命运了	韭菜的韭和韭菜的菜	http://guba.eastmoney.com/news,zssh000001,1285215520.html	-1
3	1439	明天一定涨，世界末日也会涨。	一进股市深似海1	http://guba.eastmoney.com/news,zssh000001,1285222192.html	0
4	1601	这么多唱空的我就放心了	作手小桂圆	http://guba.eastmoney.com/news,zssh000001,1285192387.html	0
5	1628	明天又是爆跌的一天	涨涨一点	http://guba.eastmoney.com/news,zssh000001,1285186457.html	-1
6	1772	周一银行股，科技股要开盘就跑，汽车股抛干净！	万仙阵	http://guba.eastmoney.com/news,zssh000001,1285180853.html	-1
7	1800	不要怕，2863应该能撑得住	看我跑的快	http://guba.eastmoney.com/news,zssh000001,1285178628.html	1
8	1838	不投资，不买房，不买车，大家存钱！	股友8711lh0335	http://guba.eastmoney.com/news,zssh000001,1285174307.html	0
9	1912	年线争夺战开始了	韭菜世界你不懂	http://guba.eastmoney.com/news,zssh000001,1285251637.html	0
10	1991	[福][福][福]苏奥传感300507[福][福][福]	账户已注销	http://guba.eastmoney.com/news,zssh000001,1285156450.html	0
11	2068	今年机构还未发布新研报看来业绩是有点压力了	曾书书战记	http://guba.eastmoney.com/news,600887,1285127252.html	-1
12	2151	周一又要比赛跑的快游戏了	智在人间	http://guba.eastmoney.com/news,zssh000001,1285137799.html	-1
13	2305	今天的各路大神集体哑火了	大吉兴隆的李洛克	http://guba.eastmoney.com/news,zssh000001,1285090793.html	-1
14	2387	请教下  这图画得对不？	心向阳光88	http://guba.eastmoney.com/news,zssh000001,1285044286.html	0
15	2471	涨涨跌跌再正常不过，任何看多看空，特别是故弄玄虚的都不要在意	股友1L00E26689	http://guba.eastmoney.com/news,zssh000001,1285067713.html	0
16	2518	这么跌下去，这个月我得变绿了不可	漫步918	http://guba.eastmoney.com/news,zssh000001,1285025379.html	-1
17	2601	今天储蓄国债3年期利率3％，银行说银行利率也得降，以前这么低的利息看都不看，现在	股友b4q2H9	http://guba.eastmoney.com/news,zssh000001,1285014156.html	-1
18	2611	周一低开低走，同意的点赞，不同意的评论区见！	梦中的谜底	http://guba.eastmoney.com/news,zssh000001,1285012996.html	-1
19	2636	再次到支撑线止跌，下周可能反弹，也许是减仓良机。	职业保镖	http://guba.eastmoney.com/news,zssh000001,1285008667.html	1
20	2713	厉害，高达600多股上涨	gskdh	http://guba.eastmoney.com/news,zssh000001,1284983071.html	1
21	2782	今天各大指数延续跳水走势，主要是游资互博以及机构调仓意愿导致机构资金流入放缓，现	财富小助手v	http://guba.eastmoney.com/news,zssh000001,1284977374.html	-1
22	2791	内资一直觉得从3100到3300都是外资在拉升股价，抄底优质资产，所以一直在出货	冷血刺客	http://guba.eastmoney.com/news,zssh000001,1284976795.html	-1
23	2873	挑战6.6万赚到50万，第三天	我不是面神	http://guba.eastmoney.com/news,zssh000001,1284972248.html	0
24	2882	接下来很可能周线级别下调	aoying0229	http://guba.eastmoney.com/news,zssh000001,1284971474.html	-1
25	2946	这下巴比Q了趋势破位了	三德科技	http://guba.eastmoney.com/news,zssh000001,1284962146.html	-1
26	3016	明天再给各位涨0.3。直呼牛来了	小美拭目以待	http://guba.eastmoney.com/news,zssh000001,1284957895.html	0
27	3029	还有几分钟就不跌了，坚持住	不舍不得2008	http://guba.eastmoney.com/news,zssh000001,1284966415.html	0
28	3043	在我满仓大买的努力下，今天大盘终于小幅下跌。	股友ORExNJ	http://guba.eastmoney.com/news,zssh000001,1284965377.html	0
29	3085	全是空头[捂脸]	远离A股珍惜生命	http://guba.eastmoney.com/news,zssh000001,1284963611.html	-1
30	3116	尾市小涨，下周大涨	易拉升	http://guba.eastmoney.com/news,zssh000001,1284956206.html	1
31	3207	今天预判对了趋势，也收获了还算不错的结果，值得为自己[赞]一个[大笑]	shark8965	http://guba.eastmoney.com/news,zssh000001,1284953487.html	0
32	3298	风浪越大雨越贵，全仓干就完了。	昂首不维诺	http://guba.eastmoney.com/news,zssh000001,1284946696.html	0
33	3330	目标5000	茫茫长路	http://guba.eastmoney.com/news,zssh000001,1284944342.html	1
34	3335	跌这么点？有本事跌个200点？	怀旧风情	http://guba.eastmoney.com/news,zssh000001,1284943845.html	-1
35	3358	周线	仔仔载载宅在宅	http://guba.eastmoney.com/news,zssh000001,1285121357.html	-1
36	3381	空仓，成功上，岸	最强无人机	http://guba.eastmoney.com/news,zssh000001,1285118510.html	-1
37	3475	这种跌法，很快又3000点保卫战了。不知是散户恐慌还是机构恐慌？	股友663g32307h	http://guba.eastmoney.com/news,zssh000001,1284938469.html	-1
38	3476	[得意][得意][得意]	磨磨蹭蹭的小刀	http://guba.eastmoney.com/news,zssh000001,1284938401.html	0
39	3514	离底还很远，不要抄底，逃命	主要的陈语心	http://guba.eastmoney.com/news,zssh000001,1284934799.html	-1
40	3590	今天可赖不到石化双雄了，人家也跌了	小梅阿姨	http://guba.eastmoney.com/news,zssh000001,1284917377.html	0
41	3637	收盘拉回3300的话，我就当你今天没跌过	大弟子疯皇捏盆	http://guba.eastmoney.com/news,zssh000001,1284904119.html	0
42	3698	不出意料，跌回3000点，抄底	股友sRSiiE	http://guba.eastmoney.com/news,zssh000001,1284922485.html	-1
43	3701	反弹是为了更好的下跌！	小滿为赢	http://guba.eastmoney.com/news,zssh000001,1284901203.html	-1
44	3744	2850是个目标	哥不割一个家	http://guba.eastmoney.com/news,zssh000001,1284919627.html	-1
